Номер,Вопрос,Ответ
16,Что такое архитектура согласно ISO 42010? Что такое архитектурное описание?,"Согласно ISO 42010, архитектура - это фундаментальные концепции или свойства системы в её окружении, выраженные через элементы, связи и принципы проектирования и эволюции. Важно, что архитектура связана с заинтересованными сторонами и их concerns, то есть существенными интересами и проблемами. Архитектурное описание - это набор документов, моделей и представлений, которые фиксируют архитектуру. Оно показывает систему с разных точек зрения: функциональной, физической, эксплуатационной, информационной и других."
17,Как архитектурные решения влияют на проектные метрики?,"Архитектурные решения определяют основные проектные метрики ещё до детальной реализации. Выбор архитектуры влияет на производительность, стоимость, энергопотребление, надёжность, масштабируемость, сопровождаемость, сроки разработки и сложность тестирования. Например, выбор универсального процессора повышает гибкость, но может ухудшить энергоэффективность; специализированная схема даёт скорость и экономию энергии, но хуже изменяется. Поэтому архитектура - это набор компромиссов между метриками, а не просто красивая структура компонентов."
18,"Почему плохой менеджмент может увеличить бюджет проекта быстрее, чем другие факторы? Проблема передачи информации.","Плохой менеджмент быстро увеличивает бюджет, потому что в сложной системе стоимость ошибки растёт из-за координации множества участников. Главная проблема - передача информации между заказчиком, разработчиками, производством, эксплуатацией и другими обеспечивающими системами. Если требования поняты неверно или важное ограничение не передано, команда может разработать технически правильную, но непригодную часть системы. Потом это приводит к переделкам, задержкам, изменению производства и росту стоимости. Чем позже обнаружена ошибка, тем дороже её исправление."
19,Сравните подходы к реализации вычислений в арифмометре и на логарифмической линейке. Аналогии с современными компьютерами.,"Арифмометр выполняет вычисление как последовательность механических операций над числами: пользователь задаёт операцию, механизм производит преобразование состояния и выдаёт результат. Это похоже на универсальный вычислитель, который шаг за шагом исполняет команды. Логарифмическая линейка работает иначе: часть вычисления заранее заложена в физическую структуру шкал, а операция сводится к геометрическому совмещению значений. Аналогия: арифмометр ближе к процессору с последовательным исполнением команд, а линейка - к специализированной аппаратуре, где структура устройства уже реализует нужное преобразование."
20,"Каков был подход к расчёту артиллерийских таблиц группой людей? Аналогии с современными компьютерами (параллелизм уровня инструкций, надёжность)","Расчёт артиллерийских таблиц выполнялся как организованный вычислительный процесс, распределённый между людьми. Большая задача разбивалась на однотипные операции, исполнители считали отдельные фрагменты, результаты проверялись и объединялись. Это даёт аналогии с современными вычислениями: параллелизм, декомпозиция задачи, конвейерная обработка, контроль ошибок и резервирование. Важная идея: компьютерная архитектура - это не только устройство машины, но и организация вычислительного процесса, где производительность и надёжность зависят от структуры выполнения."
21,Каково устройство электрического реле? Какие виды реле существуют и каковы области их применения?,"Структура ответа: дать классификацию и коротко пояснить пункты. Электрическое реле - автоматизированная кнопка, может быть нормально разомкнутое, нормально замкнутое. Если подан ток - катушка создает магнитное поле и одни контакты замыкаются, другие размыкаются. Области применения электрического реле: когда-то для компьютеров там, где транзисторыне выдерживают, силовые шкафы управления, неблагобриятная среда в ПЛК Виды: Механические (коцевой выключатель в лифте) Тепловые (в чайнике, биметалическая пластину изгибается и отключает нагрев) Оптические (реагируют на освещение) Реле времени (отключают по прошествии..."
22,Как реализуется булев базис на электрических реле?,"Механизм. Надо реализовать И, ИЛИ, НЕ. И - просто последовательно два реле (нормально разомкнутых) ИЛИ - параллельно два реле (нормлаьно разомкнутых) НЕ - одно нормально замкнутое реле RS-триггер - простейшая ячека памяти Теперь у нас есть все, чтобы построить компьютер."
23,"Опишите классическую схему включения электродвигателя с аварийной остановкой. Объясните, как работает обратная связь.","Механизм. Причем на схеме, судя по всему круглые скобки означают прием сигнала, его сток. А квадратные источник сигнала, его исток. Обратная связь - реле run начинает самоподдерживать свое состояние"
24,В чём заключается принцип развития иерархических систем Седова? Иллюстрируйте применительно к вычислительным платформам.,"Ответ. Принцип развития иерархических систем Седова - для того, чтобы у нас появилось многообразие на следующем уровне организации системы, нам необходимо ограничить его на нижележащих уровнях. Пример: чем больше операционных систем у нас будет, тем меньше разнообразия хорошего софта мы получим; чем больше языков программирования, тем меньше у нас будет библиотек для них;"
25,Что такое программируемые логические контроллеры (ПЛК) и какова область их применения?,"Определение. ПЛК - (упрощенно) специальная разновидность ЭВМ, в котором как правило есть много клеммников и разъемов. Задача (и один из вариантов использования) в том, что на компьютере есть возможность программировать данные контроллеры как схемы реле или функциональных блоков, без изучения кода и программирования. Масштабирование сложности, нет износа, соответсвие ""документации"" реальности (ибо то, что в контроллер зашито) Применяются в системах управления в промышленности, в системах с традиционно высокими требованиями к надежности."
26,Какова структура программируемых логических контроллеров (ПЛК)? Причины отделения инструментальной составляющей?,"Ответ. Устроены ПЛК пирмерно так: входные модули ввода -> само ПЛК (представляет собой такой микро-компьютер) -> модули вывода Каждая стрелка снабжена оптической изоляцией. Позволяет отделить контроллер от объектов, с которыми он интегрирован (если что-то пойдет не так на входе или выходе, это не выведет из строя сам контроллер). Вся система имеет источник питания. Инструментальная составляющая (среда разработки и прочее) отделены от исполняющей системы ввиду тотальной ограниченности ресурсов самого контроллера и по сути в объединении не было бы смысла."
27,Каковы особенности аппаратного обеспечения программируемых логических контроллеров (ПЛК)?,"Структура ответа: дать классификацию и коротко пояснить пункты. Объясните причины таких особенностей. Предназаначены для работы в агрессивных средах, защищенные корпуса. Имеют гальваническую развязку модулей ввода и гальваническую развязку модулей вывода. Нет механических элементов. Часто устойчивы к электромагнитным помехам, механическим повреждениям, имеют защищенные выводы, внутренние системы, перезагружающие схему, если она (вдруг) зависнет Причины очень просты - они разрабатывались под конкретный контекст их применения."
28,Каковы особенности программного обеспечения программируемых логических контроллеров (ПЛК)?,"Структура ответа: дать классификацию и коротко пояснить пункты. Объясните причины таких особенностей. ПЛК и возможность их программирования с помощью ladder diagram (релейно-контактные схемы) и это очень хороший пример, как вычислительные платформы и уровни формируются не исходя из того что у нас есть, а исходя из того, что нужно пользователю."
29,Что такое булев базис и какова его роль в вычислительной технике? Приведите примеры.,"Определение. Основой современной вычислительной техники являются следующие принципы, построенные на булевой алгебре: двоичная логика - все можно представить в виде некоторого количества единиц и нулей полный набор булевых функций, компбинируя которые мы можем реализовать любое преобразование из формата А в формат Б И, ИЛИ, НЕ штрих Шеффера стрелка Пирса комбинационные схемы - из булевых функций собираем преобразователи, которые работают за один прогон триггер - хранение состояния Из перечисленных выше пунктов (имея их) мы можем построить все современную..."
30,Что такое двоичное кодирование сигналов? Каковы его достоинства и недостатки? Что такое запретная зона?,"Структура ответа: дать классификацию и коротко пояснить пункты. У нас есть элетрический сигнал - мы говорим о том, что некоторый диапазон значений это единица, другой интервал за логический ноль. Далее этот сигнал передается из источника по проводнику в приемник, где мы декодируем его по другим, немного расширенным диапазонам. Те значения, которые не входят ни в один из диапазонов счиатются запретной зоной - те значения, которые, как мы считаем, не должны быть в нашей системе в норме. И туууут мы по сути совершаем метасистемный переход, где грубо ограничиваем весь аналоговый мир цифрой, булевыми значениями."
31,Какова роль машинного слова в устройстве процессора?,"Ответ. Что такое Big- и Little-endian? Один бит это не интересно и не прикольно. Мы хотим представлять числа покрупнее и поинтереснее, поэтому очень быстро приходим к тому, что составляем биты в некоторые конструкции. машинное слово - некоторая совокупность бит, с которым компьютер может ""спокойно работать"", условно обработать их совокупность одновременно (напр. сложить числа) Не всегда машинного слова бывает достаточно для наших вычислений."
32,"Какие существуют способы кодирования целочисленных данных? Что такое позиционное кодирование, дополнительный код, код Грея, BCD?","Структура ответа: дать классификацию и коротко пояснить пункты. Позиционная система счисления - в зависимости от расположения цифры зависит ее общий вклад в число, первая с конца это 1, затем 2, затем 4, затем 8 и так далее. Дополнительный код - некоторое отображение позиционной системы счисления, для работы (причем удобной работы) с отрицательными числами Символьное хранение - храним число как строку."
33,Какие существуют способы кодирования бинарных данных?,"Структура ответа: дать классификацию и коротко пояснить пункты. Что такое Base64, Base58? Исторически так сложилось, что многие протоколы заточены на передачу текстовой информации, а текст не очень предназначен, чтобы передавать бинарные данные. Поэтому придумали, как можно бинарные данные представлять в виде текста Base64 - каждые три байта преобразуются в 4 печатных символа латинского алфавита, цифр и знаков + /. Просто берем данные по 6 бит, сопоставляем с алфавитом. Все."
34,Что такое комбинационные схемы? Что такое переходный процесс и с чем связаны задержки? Как комбинационные схемы связаны с параллелизмом уровня бит?,"Определение. Комбинационная схема - схема, составленная их набора элементов, в совокупности реализующая заданную таблицу истинности. Простейшие элементы: AND OR NOT BUF (буфер просто повторяет вход, надо чтобы усиливать какой-то сигнал и повторять его дальше) Каждая функция - это некоторое отображение одного множества в другое. Любое значение любой сложности фиксированного диапазона фиксированной точности может быть представлено в виде совокупности бит. Следовательно любую функцию можно реализовать как отображение одного бинарного значения в другое."
35,"Какие состояния существуют в комбинационных схемах (0, 1, x, z) и что они означают?","Ответ. Из очевидного в комбинационных схемах может быть состояние 1 и 0. x - неизветно, значение может быть произвольным don't care. Например когда входное значение не входит в опласть определения функции z - отключено, когда провод визит в воздухе, состояние высокого сопротивления"
36,"Каковы особенности реализации ""условного оператора"" в комбинационных схемах?","Структура ответа: дать классификацию и коротко пояснить пункты. Глобально есть два сценария, как мы можем получать условный оператор. Эти два сценария покрывают практически все наши потребности, это: Есть два входа и мы хотим выбрать, из какого входа получить данные Решение - мультиплексор, у него просто три входных пременных, одна выходная. Один из входов выбирает, какой из других двух входов будет транслироваться на выход Есть один вход и мы хотим выбрать на какой выход передать данные."
37,Что такое триггеры в цифровых схемах? Каковы варианты их использования?,"Структура ответа: дать классификацию и коротко пояснить пункты. Триггер - класс элеткронных устройств, обладающих способностью длительно находиться в одном их двух устойчивых состояний и уметь менять их под дейсвтием внешних факторов Позволяют зафиксировать состояние линии на длительное время (всевозможные ячейки памяти). Сократить задержку в комбинационной схеме, что позволит одной части комбинационной схемы работать уже над другими входными данными, пока остальная схема доделывает прошлые. Позволяют создавать многотактовые схемы"
38,Что такое D-триггер и RS-триггер? Какие существуют варианты условия изменения состояния?,"Структура ответа: дать классификацию и коротко пояснить пункты. Условие изменения состояния триггера: По фронту (по изменению входного клока, с 0 на 1 например) По уровню (фиксируем при определенном уровне) Есть D-триггер - запоминает состояние входа и дает его на выход RS - есть два входа один устанавливает выходное значение другой сбрасывает"
39,Что такое пространственные и временные вычисления? Как они могут быть использованы для оптимизации процессоров?,"Определение. Суть в том, что мы например можем сделать один большой сумматор, на 16 бит, который сразу их сложит, но займет больше места. Либо переиспользовать то, что у нас есть и то, что знаимает меньше места (сумматор на 8 бит), тогда будет вычислятьсся больше времени. Возможность перехода от временных вычислений к пространстыенным позволит организовать параллелелизм уровня задач, инструкций, бит. И он же позволит сделать конвеерную организацию работ за счет многотактовости"
40,Что называют синхронной схемотехникой? Каковы её достоинства и недостатки?,"Структура ответа: дать классификацию и коротко пояснить пункты. Синхронной схематехникой называют такую схематехнику, в которой изменение элементов памяти происходит одновременно по клоку, т.е. возможно существование многотактовых схем Лучше тем, что проще синхронизация, легко рассчитать время прохождения сигнала. Нет гонок, переходные процессы сведены к минимуму. Недостатки: Тактовая частота схемы определяется самым медленным блоком Дискретизация входных данных по времени (например АЦП, который получает на вход сигнал не дискретизированный, но получать и обрабатывать он его будет как дискретный)"
41,"Почему цифровая схемотехника оперирует уровнями, а не сигналами? Какие возможности это открывает и какие проблемы создаёт?","Причина. Здесь вопрос про то, что цифровая схемотехника существует в поле времени, а не дискретных сигналов, которые пересылаются между составными частями системы. Почему уровни а не сигналы (""сигнал"" здесь используется в значении пакета данных) здесь речь о том, что уровень, например, нельзя не послать в отличие от сигнала. Возможности: в случае с цифровой схемотехникой, нет последовательности отправки значений между разными шинами, все отправляются одновременно Проблемы: Больше кол-во логики, которая нужна чтобы правильно выбирать сигналы"
